X	Y	Z

3	10.000002	0.000703
3	20.000004	0.019165
3	30.000008	0.000287
3	40.000008	0.002824
4	10.000002	0.000706
4	20.000004	0.000660
4	30.000008	0.000442
4	40.000008	0.000659
4	50.000011	0.005855
4	60.000008	0.000682
5	10.000002	0.000490
5	20.000004	0.000751
5	30.000008	0.000447
5	40.000008	0.007649
5	50.000011	0.000696
5	60.000008	0.000714
5	70.000008	0.000455
6	10.000002	0.000707
6	20.000004	0.000408
6	30.000008	0.000632
6	40.000008	0.000396
6	50.000011	0.000640
6	60.000008	0.000399
6	70.000008	0.008744
7	10.000002	0.000721
7	20.000004	0.000643
7	30.000008	0.000399
7	40.000008	0.000704
7	50.000011	0.000460
7	60.000008	0.000663
7	70.000008	0.000393
7	80.000008	0.000647
8	10.000002	0.000439
8	20.000004	0.003819
8	30.000008	0.005666
8	40.000008	0.000670
8	50.000011	0.000394
8	60.000008	0.000687
8	70.000008	0.000474
8	80.000008	0.000637
9	10.000002	0.000430
9	20.000004	0.000672
9	30.000008	0.000417
9	40.000008	0.008555
9	50.000011	0.000715
9	60.000008	0.000644
9	70.000008	0.000423
9	80.000008	0.000648
10	10.000002	0.000439
10	20.000004	0.000644
10	30.000008	0.000652
10	40.000008	0.000659
10	50.000011	0.000413
10	60.000008	0.008499
10	70.000008	0.000753
10	80.000008	0.000660
11	10.000002	0.000460
11	20.000004	0.000637
11	30.000008	0.000417
11	40.000008	0.009274
11	50.000011	0.000924
11	60.000008	0.000657
11	70.000008	0.000889
11	80.000008	0.000676
12	10.000002	0.000978
12	20.000004	0.000736
12	30.000008	0.000860
12	40.000008	0.000761
12	50.000011	0.009826
12	60.000008	0.001269
12	70.000008	0.000993
12	80.000008	0.000669
12	90.000008	0.000470
13	10.000002	0.000718
13	20.000004	0.000432
13	30.000008	0.000652
13	40.000008	0.000443
13	50.000011	0.008486
13	60.000008	0.000752
13	70.000008	0.000688
13	80.000008	0.001312
13	90.000008	0.000717
14	10.000002	0.000452
14	20.000004	0.000652
14	30.000008	0.000445
14	40.000008	0.000656
14	50.000011	0.008685
14	60.000008	0.000782
14	70.000008	0.000456
14	80.000008	0.000677
14	90.000008	0.000482
15	10.000002	0.000733
15	20.000004	0.000424
15	30.000008	0.000685
15	40.000008	0.000436
15	50.000011	0.000677
15	60.000008	0.008627
15	70.000008	0.000684
15	80.000008	0.000490
15	90.000008	0.000743
16	10.000002	0.000646
16	20.000004	0.001656
16	30.000008	0.000465
16	40.000008	0.000784
16	50.000011	0.001194
16	60.000008	0.008729
16	70.000008	0.000818
16	80.000008	0.000692
16	90.000008	0.000807
17	10.000002	0.000826
17	20.000004	0.000428
17	30.000008	0.000670
17	40.000008	0.000603
17	50.000011	0.000690
17	60.000008	0.000650
17	70.000008	0.008192
17	80.000008	0.000806
17	90.000008	0.000720
18	10.000002	0.000711
18	20.000004	0.000701
18	30.000008	0.003511
18	40.000008	0.002856
18	50.000011	0.000664
18	60.000008	0.000463
18	70.000008	0.000681
18	80.000008	0.000485
18	90.000008	0.000710
19	10.000002	0.000473
19	20.000004	0.001459
19	30.000008	0.009930
19	40.000008	0.000844
19	50.000011	0.000486
19	60.000008	0.000664
19	70.000008	0.000477
19	80.000008	0.000695
19	90.000008	0.000485
20	10.000002	0.000685
20	20.000004	0.000484
20	30.000008	0.001279
20	40.000008	0.000744
20	50.000011	0.000736
20	60.000008	0.000496
20	70.000008	0.000683
20	80.000008	0.000483
20	90.000008	0.000727
21	10.000002	0.000505
21	20.000004	0.000650
21	30.000008	0.001973
21	40.000008	0.000660
21	50.000011	0.000489
21	60.000008	0.000661
21	70.000008	0.000468
21	80.000008	0.000677
21	90.000008	0.000542
22	10.000002	0.000765
22	20.000004	0.000458
